id,Star_name,Distance,Mass,Radius
59,Mu Cephei,"6,000",19.2,972
,,,,
60,Titawin,44.25,1.27,1.48
,,,,
61,Rho Cassiopeiae,"8,154",22,636-981
,,,,
62,P Cygni,"5,545",30,76
,,,,
63,La Superba,"1,000",,129 - 342
,,,,
64,VV Cephei,"4,900",18.2,"516 - 1,050"
,,,,
65,61 Cygni,11.41,0.7,0.665
,,,,
66,R Doradus,178,0.7 - 1.0,298
,,,,
67,Polaris Australis,281,1.59,3.74
,,,,
68,R Coronae Borealis,"4,566",0.85,85
,,,,
69,54 Piscium,36.1,0.76,0.94
,,,,
70,Mira,300,1.2,370
,,,,
71,RW Cephei,"14,000",13.9,"1,158"
,,,,
72,Lacaille 8760,12.87,0.6,0.51
,,,,
73,V838 Monocerotis,"19,896",?,380 - 750
,,,,
74,HD 140283,190,?,1.4
,,,,
75,II Pegasi,130,0.8,3.4
,,,,
76,VY Canis Majoris,"3,900",17,"1,420"
,,,,
77,Pistol Star,"25,000",100,320
,,,,
78,S Doradus,"1,69,000",24,380
,,,,
79,UY Scuti,"5,100",7–10,755
,,,,
80,Barnard's Star,5.98,0.14,0.2
,,,,
81,Luhman 16,6.52,0.04,?
,,,,
82,Proxima Centauri,4.25,0.12,0.15
,,,,
83,KIC 8462852,"1,470",1.43,1.58
,,,,
84,R136a1,"1,63,000",290,32
,,,,
85,Melnick 42,"1,63,000",189,21.1
,,,,
86,WR 102,"18,134",19,0.39
,,,,
87,VFTS 352,"1,64,000",57.48,14.47
,,,,
88,YBP 1194,"2,772",1.01,0.99
,,,,
89,Gliese 1214,47.5,0.16,0.21
,,,,
90,NML Cygni,"5,251",50,"1,640 - 2,770"
,,,,
91,VB 10,18.72,0.075,0.1
,,,,
92,WOH G64,"1,63,000",<20,"1,540 - 1,730"
,,,,
93,TRAPPIST-1,39.6,0.089,0.12
,,,,
94,2MASS J0523-1403,40.3,0.07,0.086
,,,,
95,WISE 0855−0714,7.27,0.003,?
,,,,
96,Icarus,"14,40,00,00,000",33,?
,,,,
0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224
,,,,
2,2,2MASS J00040288-6410358,192,0.018137172
,,,,
4,4,2MASS J00242463-0158201,37.7,0.075412452
,,,,
6,6,2MASS J00274197+0503417,236,0.029592228
,,,,
8,8,2MASSW J0030300-145033,87.2,0.051547752
,,,,
9,9,2MASS J00332386-1521309 [de],131,0.027683052
,,,,
10,10,2MASS J00345157+0523050,31,0.040092696
,,,,
11,11,2MASS 0036+1821,28.6,0.040092696
,,,,
12,12,2MASSW J0045214+163445,57,0.021955524
,,,,
13,13,WISEP J004701.06+680352.1 [fr],40,0.011455056
,,,,
14,14,2MASS J00501994-3322402 [de],34,0.03818352
,,,,
16,16,2MASS J00584253-0651239 [de],96,0.027683052
,,,,
18,18,2MASSI J0103320+193536,70,0.049638576
,,,,
19,19,SDSSp J010752.33+004156.1 [de],51,0.049638576
,,,,
20,20,2MASSI J0117474-340325 [de],163,0.01909176
,,,,
21,21,2MASS J01415823-4633574 [de],130,0.01909176
,,,,
22,22,SDSS J015141.69+124429.6,70,0.044865636
,,,,
26,26,SDSS J020742.48+000056.2 [de],111,0.044865636
,,,,
27,27,2MASS J02103857-3015313,101,0.01431882
,,,,
28,28,2MASS J02340093-6442068,155,0.01909176
,,,,
29,29,2MASS J02411151-0326587 [de],152,0.025773876
,,,,
30,30,2MASS J02431371−2453298,35,0.031501404
,,,,
31,31,LP 771-21,53,0.074457864
,,,,
33,33,Teegarden's star,12.578,0.07636704
,,,,
34,34,2MASS J02535980+3206373,184,0.06204822
,,,,
35,35,WISE J0254+0223,24,0.06204822
,,,,
36,36,DEN 0255-4700,16.2,0.07636704
,,,,
37,37,2MASS J03185403-3421292 [de],45,0.046774812
,,,,
38,38,2MASS J03205965+1854233,47,0.084003744
,,,,
39,39,2MASS J03231002-4631237,192,0.021955524
,,,,
40,40,SDSS J032553.17+042540.1,59,0.04295646
,,,,
41,41,2MASS J03264225-2102057 [de],80,0.017182584
,,,,
42,42,2MASS J03284265+2302051 [de],98,0.051547752
,,,,
43,43,2MASS J03341218-4953322,27,0.069684924
,,,,
44,44,LP 944-20,20.9,0.069684924
,,,,
45,45,2MASP J0345432+254023,88,0.070639512
,,,,
46,46,Teide 1,380,0.05250234
,,,,
47,47,2MASS J03510004-0052452,48,0.097367976
,,,,
48,48,2MASS J03552337+1133437,29.8,0.01909176
,,,,
50,50,2MASS J04151954−0935066,18.6,0.02863764
,,,,
52,52,2MASS J04285096-2253227 [de],85,0.07636704
,,,,
53,53,2MASS J04351612-1606574,34,0.0954588
,,,,
54,54,2MASS J04362788-4114465,142,0.037228932
,,,,
55,55,2MASS J04390101-2353083 [de],29.5,0.045820224
,,,,
57,57,2MASS J04433764+0002040,82,0.021000936
,,,,
58,58,2MASS J04455387-3048204 [de],42,0.061093632
,,,,
59,59,2MASS J04510093-3402150 [de],69,0.068730336
,,,,
60,60,2MASS J05002100+0330501 [de],44,0.061093632
,,,,
61,61,2MASS J05012406-0010452 [de],64,0.020046348
,,,,
62,62,2MASS J05160945-0445499 [de],73,0.044865636
,,,,
63,63,2MASS J0523−1403,40,0.064911984
,,,,
65,65,SDSS J053951.99-005902.0,41.62,0.058229868
,,,,
67,67,LSR 0602+3910 [de],34.6,0.026728464
,,,,
68,68,2MASS J06085283-2753583,102,0.036274344
,,,,
71,71,2MASS J06244595-4521548 [de],39,0.053456928
,,,,
72,72,2MASS J06411840-4322329 [de],65,0.063957396
,,,,
73,73,DENIS-P J0652197-253450 [de],51,0.0715941
,,,,
75,75,2MASS J07075327-4900503,60,0.068730336
,,,,
76,76,UGPS J072227.51-054031.2,13.4,0.024819288
,,,,
77,77,2MASSI J0727182+171001 [de],29.6,0.039138108
,,,,
78,78,2MASS J07290002-3954043 [de],25.8,0.035319756
,,,,
79,79,SDSS J074201.41+205520.5 [de],49,0.041047284
,,,,
81,81,DENIS-P J0751164-253043 [de],55,0.067775748
,,,,
82,82,2MASS J07522390+1612157,60,0.064911984
,,,,
83,83,DENIS J081730.0-615520,16.1,0.042001872
,,,,
86,86,2MASS J08251968+2115521 [de],35,0.049638576
,,,,
87,87,SDSSp J083008.12+482847.4 [de],43,0.045820224
,,,,
88,88,LHS 2021,55,0.084003744
,,,,
89,89,SDSS J083048.80+012831.1 [de],77,0.043911048
,,,,
90,90,2MASSI J0835425-081923 [de],23.53,0.059184456
,,,,
91,91,2MASSI J0847287-153237 [de],43,0.061093632
,,,,
92,92,2MASS J08533619-0329321,27.6,0.073503276
,,,,
93,93,2MASSI J0859254-194926 [de],50,0.0477294
,,,,
95,95,2MASSI J0937347+293142,20,0.040092696
,,,,
96,96,2MASS 0939−2448,17.4,0.030546816
,,,,
97,97,2MASS J09490860-1545485 [de],59,0.046774812
,,,,
98,98,2MASS J10073369-4555147,46,0.042001872
,,,,
99,99,2MASSI J1010148-040649 [de],55,0.048683988
,,,,
102,102,2MASS J10224821+5825453 [de],60,0.025773876
,,,,
103,103,2MASSW J1036530-344138 [de],53,0.046774812
,,,,
104,104,2MASS J1047538+212423 [de],34.4,0.040092696
,,,,
105,105,DEN 1048-3956,13.15,0.073503276
,,,,
106,106,Luhman 16B,6.516,0.041047284
,,,,
107,107,Luhman 16A,6.516,0.03818352
,,,,
108,108,DENIS-P J1058.7−1548,49,0.061093632
,,,,
109,109,TWA 28,180,0.034365168
,,,,
110,110,Cha 110913-773444,163,0.007636704
,,,,
112,112,SDSS J111010.01+011613.1,63,0.008591292
,,,,
113,113,2MASS J11145133−2618235,18.2,0.031501404
,,,,
114,114,TWA 26,137,0.02863764
,,,,
116,116,2MASS J11544223-3400390 [de],129,0.035319756
,,,,
117,117,2MASSW J1155395-372735 [de],31,0.061093632
,,,,
120,120,2MASS J12074836-3900043,217,0.016227996
,,,,
121,121,2MASSI J1217110-031113 [de],36,0.040092696
,,,,
124,124,2M 1237+6526,45.6,0.039138108
,,,,
126,126,TWA 29,262,0.0238647
,,,,
127,127,SDSSp J125453.90-012247.4 [de],38,0.044865636
,,,,
128,128,Kelu-1A,61,0.060139044
,,,,
129,129,Kelu-1B,61,0.055366104
,,,,
130,130,2MASS J13204427+0409045,101,0.063957396
,,,,
131,131,SDSSp J132629.82-003831.5 [de],65,0.048683988
,,,,
132,132,SDSSp J134646.45-003150.4 [de],48,0.042001872
,,,,
133,133,2MASS J13595510-4034582,51,0.060139044
,,,,
134,134,ULAS J141623.94+134836.3,29.7,0.030546816
,,,,
135,135,SDSS J141659.78+500626.4 [de],149,0.056320692
,,,,
136,136,DENIS-P J142527.97-365023.4 [de],38,0.020046348
,,,,
137,137,LHS 2924,38.5,0.072548688
,,,,
138,138,2MASS J14392837+1929150,47,0.068730336
,,,,
139,139,LSPM J1440+1339,72,0.087822096
,,,,
140,140,2MASS J14482563+1031590 [de],47,0.056320692
,,,,
141,141,CFBDSIR 1458+10A,104,0.105959268
,,,,
142,142,CFBDSIR 1458+10B,104,0.008591292
,,,,
143,143,TVLM 513-46546,35.1,0.0715941
,,,,
144,144,2MASS 1503+2525,20.7,0.042001872
,,,,
145,145,CFBDS J150411+102717,71,0.042001872
,,,,
146,146,2MASSW J1506544+132106 [de],46,0.065866572
,,,,
147,147,2MASS 1507−1627,23.9,0.05727528
,,,,
148,148,TVLM 868-110639,53,0.075412452
,,,,
150,150,2MASSW J1515008+484742 [de],34,0.054411516
,,,,
151,151,2MASSI J1526140+204341 [de],67,0.051547752
,,,,
152,152,DENIS-P J153941.96-052042.4 [de],51,0.060139044
,,,,
153,153,2MASS J15462718-3325111 [de],37,0.042001872
,,,,
154,154,2MASSW J1552591+294849 [de],68,0.02863764
,,,,
155,155,2MASSW J1555157-095605 [de],44,0.067775748
,,,,
156,156,2MASS J16150413+1340079 [de],48,0.040092696
,,,,
157,157,SDSSp J162414.37+002915.6 [de],36,0.041047284
,,,,
158,158,2MASS J16262034+3925190 [de],110,0.067775748
,,,,
159,159,2MASSW J1632291+190441 [de],50,0.046774812
,,,,
160,160,WISEPA J164715.59+563208.2,28,0.039138108
,,,,
161,161,LSPM J1658+7027 [de],60,0.069684924
,,,,
162,162,2MASSI J1726000+153819,114,0.022910112
,,,,
164,164,SDSSp J175032.96+175903.9,90,0.044865636
,,,,
165,165,2MASS J18283572-4849046,39,0.04295646
,,,,
166,166,LSR J1835+3259,18.5,0.073503276
,,,,
167,167,2MASSW J1841086+311727,138,0.063957396
,,,,
168,168,2MASS J18432213+4040209,46,0.091640448
,,,,
169,169,2MASS J20004841-7523070,105,0.0238647
,,,,
170,170,SDSS J204749.61-071818.3,65,0.043911048
,,,,
171,171,2MASSI J2057540-025230,47,0.06682116
,,,,
173,173,2MASSI J2104149-103736,62,0.065866572
,,,,
174,174,PSO J318.5−22,80,0.06204822
,,,,
175,175,HB 2124-4228,113,0.089731272
,,,,
176,176,2MASS J21392676+0220226,32.1,0.043911048
,,,,
177,177,2MASS J21481628+4003593,26.3,0.05250234
,,,,
179,179,2MASSW J2206450-421721,93,0.021000936
,,,,
180,180,2MASSW J2208136+292121,154,0.025773876
,,,,
181,181,2MASSW J2224438-015852,38,0.058229868
,,,,
182,182,2MASS J22282889-4310262,35,0.040092696
,,,,
183,183,2MASS J22373255+3922398,64,0.069684924
,,,,
184,184,2MASSW J2244316+204343,56,0.011455056
,,,,
185,185,2MASS J23224684-3133231,56,0.022910112
,,,,
186,186,2MASS J23225299-6151275,148,0.016227996
,,,,
187,187,2MASS J23515044-2537367,67,0.084003744
,,,,
188,188,2MASSI J2356547-155310,74,0.07636704
,,,,
226,226,WISE 0410+1502,20,0.005727528
,,,,
230,230,WISE 0458+6434A,35.9,0.01431882
,,,,
231,231,WISE 0458+6434B,35.9,0.00954588
,,,,
285,285,WISE 1405+5534,25.3,0.02863764
